calc,expt,id,iupac,smiles
-5.809,-5.45,molid4,2-ethylpyrazine,CCc1cnccn1
-8.292,-6.34,molid21,2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C
-3.861,-5.56,molid48,azetidine,C1CNC1
-6.676,-8.18,molid73,2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O
1.352,0.52,molid82,1-bromooctane,CCCCCCCCBr
-17.298,-18.17,molid84,5-bromouracil,c1c(c(=O)[nH]c(=O)[nH]1)Br
-2.075,-4.02,molid95,nitromethane,C[N+](=O)[O-]
-5.559,-4.04,molid110,trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC
-0.598,-1.66,molid117,1-methoxypropane,CCCOC
-7.739,-9.65,molid119,3-hydroxybenzonitrile,c1cc(cc(c1)O)C#N
-2.991,-4.29,molid123,N-methylmethanamine,CNC
-5.2639999999999985,-3.88,molid127,phenanthrene,c1ccc2c(c1)ccc3c2cccc3
1.024,-0.78,molid130,"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl
-5.495,-5.04,molid134,2-isobutylpyrazine,CC(C)Cc1cnccn1
-0.456,-0.68,molid151,1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C
-8.683,-5.71,molid159,diethyl butanedioate,CCOC(=O)CCC(=O)OCC
-3.044,-3.18,molid166,butanal,CCCC=O
-21.762,-18.06,molid172,cyanuric acid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1
-1.147,-4.53,molid184,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-5.7189999999999985,-4.69,molid187,N-methylaniline,CNc1ccccc1
-3.3710000000000004,-2.64,molid188,isopropyl acetate,CC(C)OC(=O)C
-0.617,-1.59,molid197,ethoxyethane,CCOCC
-5.4529999999999985,-6.13,molid210,4-ethylphenol,CCc1ccc(cc1)O
-9.434,-6.35,molid214,butyric acid,CCCC(=O)O
1.564,1.79,molid217,bromo-trifluoro-methane,C(F)(F)(F)Br
-2.9610000000000003,-4.24,molid250,butan-1-amine,CCCCN
-3.381,-2.49,molid251,ethyl butanoate,CCCC(=O)OCC
1.503,1.23,molid269,cyclohexane,C1CCCCC1
0.065,-0.48,molid282,prop-1-yne,CC#C
2.446,2.0,molid287,methane,C
2.272,1.31,molid302,2-methylbut-2-ene,CC=C(C)C
-0.363,-1.79,molid303,"1,2-dichloroethane",C(CCl)Cl
2.465,1.83,molid331,ethane,CC
-4.055,-5.33,molid332,"1,2-dimethoxybenzene",COc1ccccc1OC
0.46,-0.82,molid354,bromomethane,CBr
-7.66,-7.37,molid358,2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-]
-18.095,-25.47,molid363,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
0.705,-0.4,molid368,1-bromobutane,CCCCBr
-0.575,-0.95,molid374,1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C
-4.473,-3.52,molid384,1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl
-0.34,1.07,molid389,m-bis(trifluoromethyl)benzene,c1cc(cc(c1)C(F)(F)F)C(F)(F)F
-4.955,-6.19,molid399,4-fluorophenol,c1cc(ccc1O)F
-0.795,-0.86,molid401,"1,2,4-trimethylbenzene",Cc1ccc(c(c1)C)C
-3.344,-3.75,molid403,"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C
-10.466,-7.19,molid406,methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]
-9.211,-6.74,molid407,diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
2.613,2.51,molid425,3-methylpentane,CCC(C)CC
-6.1610000000000005,-5.51,molid426,2-methylpyrazine,Cc1cnccn1
-11.81,-9.13,molid442,fenuron,CN(C)C(=O)Nc1ccccc1
2.8510000000000004,2.48,molid447,hexane,CCCCCC
-12.214,-9.44,molid480,"1-amino-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N
-6.4270000000000005,-4.37,molid483,diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC
-1.325,-2.82,molid491,1-nitropentane,CCCCC[N+](=O)[O-]
-5.771,-6.92,molid513,3-phenylpropan-1-ol,c1ccc(cc1)CCCO
-0.273,-1.2,molid527,methanethiol,CS
-0.091,-1.43,molid551,"1,1,1,2-tetrachloroethane",C(C(Cl)(Cl)Cl)Cl
1.648,1.2,molid553,cyclopentane,C1CCCC1
-8.205,-10.27,molid559,4-methyl-1H-imidazole,Cc1c[nH]cn1
-3.299,-2.49,molid564,methyl hexanoate,CCCCCC(=O)OC
-3.133,-3.58,molid597,1-methyl-2-nitro-benzene,Cc1ccccc1[N+](=O)[O-]
-6.227,-5.73,molid613,"1,2-dinitroxyethane",C(CO[N+](=O)[O-])O[N+](=O)[O-]
